"","title","movieInfo","point","review"
"1","동주","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=134899&target=after","10","아 영화 좋네요. 윤동주의 벗인 송몽규의 삶도 같이 녹여내서 큰 감동이 있습니다 "
"2","타이타닉 2","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=80857&target=after","10","타이타닉1보다 더 감동적이라 느끼는 나 정상?솔직히 타이타닉1 남자주인공 너무 역겨웠음.웩 "
"3","그 시절, 우리가 좋아했던 소녀","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=88669&target=after","10","서울 극장에서 재개봉으로 다시한번 보게되었다. 주인공들의 입장에서 그 순간 다른 선택을 했었다면 하는 아쉬움이 진하게 남았지만 둘에게 있어 그 시절을 추억할 수 있기에 행복할 것이다.  ""그 때 날 좋아해줘서 고마워"", ""나도 그 때 널 좋아했던 내가 좋아"" "
"4","서복","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=159074&target=after","1","삶과 인생에 대한 깊은 철학을 담고 싶었으나, 고민과 역량이 현저히 부족했던 영화.10배는 더 고민하고 영화를 만들도록. "
"5","자산어보","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=189075&target=after","10","미나리볼까하다 추천받고 봤는데 오랜만에 좋은 영화 한편을 본듯합니다 배우분들이 연기를 잘하셔서 몰입이 잘되네요 "
"6","코쿠리코 언덕에서","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=83410&target=after","4","이게 역사왜곡이라고 ㅂㄷㅂㄷ대는 애들은 대가리에 똥이 찼나~ 근데 스토리는 개노잼이고 개연성없긴하다 보지마라. "
"7","노바디 ","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=197520&target=after","10","존윅을 오마주 했는데 더 처절하고 통렬하다 "
"8","감쪽같은 그녀","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=171752&target=after","10","오랜만에 소리 내어서 눈물 콧물 빼가며 펑펑 엉엉 울었네요ㅠㅠ너무감동적이고 슬펐어요ㅠㅠ "
"9","라폴로니드: 관용의 집","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=84857&target=after","8","새벽에 우연히 이 영화를 접했는데 마음이 너무 아프네요.. "
"10","그녀","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=101950&target=after","10","처음에 인공지능과 인간의 사랑이 주된 스토리라는걸 알았을 때는 신선하다고 생각했지만 주인공의 감정에 공감하긴 힘들 것 같다는 생각을 했어요. 그런데 영화가 담고 있는건 주인공의 마음만이 아니었던 것 같아요. 처음 만났을 때 사만다는 그저 주인공의 편의를 봐주고 마음을 공감해주는 인공지능 비서나 친구 정도의 역할이었죠. 그런 사만다가 주인공과 대화하고 삶을 공유하면서 점차 변해가는 과정이 담겨있었어요. 인간이 되고싶어했다가 자신이 OS라는것을 받아들이고 OS로서의 삶의 방식을 받아들이는 모습은 마치 사만다가 자아를 형성해 나가는 모습 같았어요. 이렇게 그저 시스템이 아닌 하나의 자아로서 발전해나가는 사만다를 주인공은 사랑했던게 아닐까요? 그렇게 인격으로서 서로를 사랑했기 때문에 사만다는 주인공을 떠날 수 있었고, 주인공은 사만다를 보내줄 수 있었던 것 같아요. 오랜만에 깊이 생각해볼만한 영화였어요! 나중에 기회되면 한번 더 보고싶네요ㅎㅎ "
